ID,Tags,Texte,Link,UpdatedAt,CreatedAt,Thumb
,"jenkins,trigger",Modify Trigger on Jenkins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=445,1771160255,1771160189,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"Prometheus,grafana",Add Prometheus as data Source to Grafana,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=431,1771160099,1771160061,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"Prometheus,blackbox",Install Blackbox,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=411,1771159955,1771159857,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,mail notifications",Configure the Mail Notifications,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=395,1771159800,1771159658,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,pipeline",Configure the Pipeline,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=323,1771159526,1771159213,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,plugins,kubernetes",Install Kubernetes Plugins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=245,1771159089,1771158793,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,plugins,SonarQube",Install SonarQube Plugins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=240,1771158724,1771158636,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,plugins,docker",Install Docker Plugins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=243,1771158785,1771158728,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,plugins,Pipeline Stage View Plugins",Install Pipeline Stage View Plugins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=238,1771158583,1771158529,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,plugins,Maven Plugins",Install Maven Plugins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=235,1771158502,1771158413,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,plugins,JDK Plugins,miseEnPlace",Install JDK Plugins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=230,1771158350,1771158254,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"github,private",Create a Private Git Repository,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=212,1771158085,1771158016,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"grafana,miseEnPlace",Install Grafana,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=204,1771157921,1771157881,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"Prometheus,miseEnPlace",Install Prometheus,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=196,1771157831,1771157767,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,monitoring,Create and Configure Virtual Machine for Monitoring,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=183,1771157761,1771157676,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,kubernetes,kubectl",Install kubectl on Jenkins Server,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=181,1771157653,1771157597,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"Trivy,jenkins",Install Trivy on Jenkins Server,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=177,1771157484,1771157396,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"jenkins,miseEnPlace,AWS,docker",Create Virtual Machine for Jenkins,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=151,1771157362,1771157187,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"kubernetes,SonarQube,miseEnPlace,docker",Create and Configure Virtual Machine for SonarQube,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=95,1771157297,1771156876,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"kubernetes,kube Audit,Trivy",Installing Kube Audit for Trivy,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=90,1771156831,1771156772,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
,"kubernetes,nginx,deploiement",Deploy Sample Nginx Microservice on Kubernetes,http://192.168.1.29:5050/static/files/linkedin/1770576116119.pdf#page=86,1771156703,1771156654,http://192.168.1.29:5050/static/thumbs/linkedin/1770576116119.jpg
